date,company name,role,location,event
2026-03-11,SeatGeek,"Business Analyst, Support Operations","New York, NY",bookmarked
2026-03-11,Jobgether,Remote Senior Data Analyst,"New York, NY",bookmarked
2026-03-11,Peraton,Business Analyst / Applications Tester,"New York, NY",bookmarked
2026-03-11,Marsh McLennan,Business Process Analyst,"White Plains, NY",bookmarked
2026-03-11,Jobgether,Lead Business Analyst (Remote),"New York, NY",bookmarked
2026-03-11,Providge Consulting,Senior Business Analyst,"New York, NY",bookmarked
2026-03-11,Olo,Senior Business Data Analyst,"New York, NY",bookmarked
2026-03-11,Jobgether,"Business analyst, sensors global sales operations",,bookmarked
2026-03-11,Horizon Media,"IT Business Analyst, Business Operations","New York, NY",bookmarked
2026-03-11,WalkMe,DevOps Engineer,"New York, NY",bookmarked
2026-03-11,DoubleVerify,Sr. Devops Engineer II,"New York, NY",bookmarked
2026-03-11,Cinter Career,Application Platform / DevOps Engineer,"New York, NY",bookmarked
2026-03-11,Horizon Media,"IT Business Analyst, Business Operations","New York, NY",applying
2026-03-12,Cinter Career,Application Platform / DevOps Engineer,"New York, NY",applying
2026-03-12,Jobgether,Remote Senior Data Analyst,"New York, NY",applying
2026-03-12,Strategic Employment Partners (SEP),Business Analyst,"Jersey City, NJ",bookmarked
2026-03-12,"AEGIS Insurance Services, Inc.",Senior Business Analyst,"Jersey City, NJ",bookmarked
2026-03-12,Horizon Blue Cross Blue Shield of New Jersey,Senior Business Analyst,"Newark, NJ",bookmarked
2026-03-12,InsideBoard AI,Senior Business Analyst – Professional Services (Enterprise Digital Program),"New York, NY",bookmarked
2026-03-12,IQVIA,Sr Business Analyst,"New Providence, NJ",bookmarked
2026-03-12,Anthropic,Business Systems Analyst,"New York, NY",bookmarked
2026-03-12,KPMG US,"Senior Associate, Business Analyst","Montvale, NJ",bookmarked
2026-03-12,Berkshire Hathaway GUARD Insurance Companies,Business Analyst,New York City Metropolitan Area,bookmarked
2026-03-12,The Depository Trust & Clearing Corporation (DTCC),Business Systems Analyst,"Jersey City, NJ",bookmarked
2026-03-18,Rooftops VI,ROOFING PROJECT SUPERINTENDENT,,bookmarked
2026-03-18,"Woongjin, Inc",Sr. Business Analyst- Bilingual (Korean and English),"Ridgefield Park, NJ",bookmarked
2026-03-18,Prime Therapeutics,Business Analyst Sr - Idaho Medicaid - Remote,"Home, WV",bookmarked
2026-03-18,Insurity,Lead Business Analyst / Analyste Commercial Principal,,bookmarked
2026-03-18,Anthropic,Business Systems Analyst,"New York, NY",applying
2026-03-23,Prudential Financial,Business Systems Analyst-2,"Newark, NJ",bookmarked
2026-03-23,MedImpact,"Client Services, Business Systems Analyst III","San Diego, CA",bookmarked
2026-03-23,The Estée Lauder Companies Inc.,"Business Analyst, Global Retail Technology","New York, NY",bookmarked
2026-03-23,The Depository Trust & Clearing Corporation (DTCC),Product Management Business Analyst - Master Reference Data,"Jersey City, NJ",bookmarked
2026-03-23,Social Capital Resources,Business Operations Associate,New York City Metropolitan Area,bookmarked
2026-03-23,BIP,"Business Analyst, Banking Transactions","Jersey City, NJ",bookmarked
2026-03-30,Pinnacle Method Consulting,Senior Business Analyst (Remote),United States,bookmarked
2026-03-30,Prudential Financial,Business Systems Analyst-2,"Newark, NJ",applying
2026-04-01,Akkodis,Senior Business Applications Manager,United States,bookmarked
2026-04-01,Accrete,Staff Product Operations Specialist,"New York, NY",bookmarked
2026-04-01,RemoteHunter,Business Systems Analyst,United States,bookmarked
2026-04-01,Global Accounting Network,Business Operations Analyst | P&C Insurance,"Berkeley Heights, NJ",bookmarked
2026-04-01,Robert Half,Senior Information Technology Project Manager,United States,bookmarked
2026-04-01,Synechron,Technical Project Manager,"Jersey City, NJ",bookmarked
2026-04-01,QUANTEAM (RAINBOW PARTNERS Group),Business Analyst - Business Objects / Investment Bank,New York City Metropolitan Area,bookmarked
2026-04-01,Akkodis,Senior Business Applications Manager,United States,applying
2026-04-01,Akkodis,Senior Business Applications Manager,United States,applied
2026-04-01,Akkodis,Senior Business Applications Manager,United States,interviewing
2026-04-01,Akkodis,Senior Business Applications Manager,United States,applied
2026-04-01,Prudential Financial,Business Systems Analyst-2,"Newark, NJ",applied
2026-04-01,BIP,"Business Analyst, Banking Transactions","Jersey City, NJ",applying
