company_name,location,role,url,excitement,source,resume_uuid,availability_status,min_salary,max_salary,salary_currency,salary_pay_period,added_at,application_deadline,applied_at,checked_availability_at,created_at,follow_up_at,posted_at,updated_at,archived_at,id,status,statusName
Cursor,United States,Support Operations Systems Lead,https://www.linkedin.com/jobs/view/4419984022,0,ChromeExtension,,t,,,,,2026-05-29T14:17:42Z,,,2026-05-29T14:17:42Z,2026-05-29T14:17:42Z,,,2026-05-29T14:20:58Z,,18f17858-a963-4668-906b-eeae6ae1f4dc,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Mercer Advisors,United States,Infrastructure Operations Specialist,https://www.linkedin.com/jobs/view/4409221261,0,ChromeExtension,,t,32,38,USD,hour,2026-05-29T14:20:15Z,,,2026-05-29T14:20:15Z,2026-05-29T14:20:15Z,,,2026-05-29T14:20:57Z,,2f0fafd8-4531-40f1-8e38-69f4341c0f1f,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Makai Labs,"New York, NY",Business Analyst,https://jobs.ashbyhq.com/makai-labs/e170b3c0-42c9-4bab-8afb-69c3b2f714b6,,WebClient,,,,,USD,year,2026-06-01T00:04:52Z,,,,2026-06-01T00:04:52Z,,2026-04-29T00:00:00Z,2026-06-01T00:05:04Z,,3386b09b-462b-4f7f-84eb-da9f2ff526b3,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Figma,United States,Business Operations,https://www.linkedin.com/jobs/view/4367522456,0,ChromeExtension,,t,140000,245000,USD,year,2026-04-06T14:20:29Z,,,2026-04-06T14:20:29Z,2026-04-06T14:20:29Z,,,2026-04-06T14:41:21Z,,466ab69c-e7cb-4314-9073-c8d16b2b5cb5,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Pico,"New York City, NY",Site Reliability Engineer,https://job-boards.greenhouse.io/picoquantitativetrading/jobs/4664671006,0,ChromeExtension,,,115000,125000,USD,year,2026-04-07T13:56:44Z,,,,2026-04-07T13:56:44Z,,,2026-04-07T13:56:57Z,,6153036c-160b-4595-8937-fddd14d60c6f,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Tata Consultancy Services,,Business Analyst -Artificial Intelligence,https://www.indeed.com/viewjob?jk=54d8e21c3a56bc21,0,ChromeExtension,,,120000,412298,USD,year,2026-05-30T17:03:03Z,,,,2026-05-30T17:03:03Z,,,2026-05-30T17:03:17Z,,76ce596b-129f-407c-806b-e12c02177388,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Fixify,United States,Senior IT Operations Analyst,https://www.linkedin.com/jobs/view/4419876735,0,ChromeExtension,,t,,,,,2026-05-29T14:16:05Z,,,2026-05-29T14:16:05Z,2026-05-29T14:16:05Z,,,2026-05-29T14:16:20Z,,a4d9a97a-abf5-48b6-a1f6-f09bf8aa683b,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Citi,"New York, NY","Application and Production Support Lead, Assistant Vice President",https://www.linkedin.com/jobs/view/4386883718,0,WebClient,,t,109120,163680,USD,year,2026-04-01T17:40:08Z,,2026-04-01T18:02:16Z,2026-04-01T17:40:08Z,2026-04-01T17:40:08Z,,,2026-04-01T18:02:16Z,,b0b86130-ff36-48e0-a57f-e05155df9169,"{""name"":""applied"",""archived_at"":"""",""id"":""5689f93d-a084-489c-9a6a-7d74b155b49a""}",applied
Neuberger,"New York, NY",Senior Program Manager / Business Analyst (Asset Management),https://www.linkedin.com/jobs/view/4397663312,0,ChromeExtension,,t,150000,170000,USD,year,2026-05-24T14:05:48Z,,,2026-05-24T14:05:48Z,2026-05-24T14:05:48Z,,,2026-05-31T20:27:45Z,,bbac7ef5-6085-4804-9401-9c21ccba2382,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Atlas Search,"Greenwich, CT",Business System Analyst,https://www.linkedin.com/jobs/view/4414347246,0,ChromeExtension,,t,,,,,2026-05-29T14:25:38Z,,,2026-05-29T14:25:38Z,2026-05-29T14:25:38Z,,,2026-05-29T15:22:40Z,,d1b61554-41bb-41fa-9627-a27d8fdc8d46,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
