company_name,location,role,url,excitement,source,resume_uuid,availability_status,min_salary,max_salary,salary_currency,salary_pay_period,added_at,application_deadline,applied_at,checked_availability_at,created_at,follow_up_at,posted_at,updated_at,archived_at,id,status,statusName
WATG and Wimberly Interiors,"New York, NY",Senior IT Support Specialist,https://www.linkedin.com/jobs/view/4415702912,0,ChromeExtension,,t,100000,115000,USD,year,2026-06-05T17:55:59Z,,,2026-06-05T17:55:59Z,2026-06-05T17:55:59Z,,,2026-06-05T18:03:53Z,,12893709-a37d-4305-bca6-413a1b1528f5,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Valon,"New York, NY",Product Operations Senior Associate,https://www.linkedin.com/jobs/view/4366528391,0,ChromeExtension,,t,106500,145500,USD,year,2026-06-08T14:00:43Z,,,2026-06-08T14:00:43Z,2026-06-08T14:00:43Z,,,2026-06-08T14:01:06Z,,1845de2c-5fbc-4401-9fbb-c54d72c30a9a,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Cursor,United States,Support Operations Systems Lead,https://www.linkedin.com/jobs/view/4419984022,0,ChromeExtension,,t,,,,,2026-05-29T14:17:42Z,,,2026-05-29T14:17:42Z,2026-05-29T14:17:42Z,,,2026-05-29T14:20:58Z,,18f17858-a963-4668-906b-eeae6ae1f4dc,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Grapevine Technologies Inc,"New York, NY",Sr. Operations Analyst,https://www.linkedin.com/jobs/view/4424786626,0,ChromeExtension,,t,90000,120000,USD,year,2026-06-08T15:00:31Z,,,2026-06-08T15:00:31Z,2026-06-08T15:00:31Z,,,2026-06-08T15:01:37Z,,1d7531ba-9ca1-4402-b5d1-88f3ee04a751,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Neuberger Berman,"New York, NY",Senior Business Analyst – Client Data Strategy,https://jobs.workable.com/view/17FuqV1qUJfYnU494zUhvR/senior-business-analyst-%E2%80%93-client-data-strategy-in-new-york-at-neuberger-berman,,WebClient,,,130000,150000,USD,year,2026-06-05T22:20:36Z,,,,2026-06-05T22:20:36Z,,2026-06-05T08:10:39Z,2026-06-05T23:09:12Z,,211b5fe4-6541-40df-be6a-4be1e69b45fe,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
VNS Health,"New York, NY",Enterprise Applications Analyst (Workday & Enterprise Systems),https://www.linkedin.com/jobs/view/4391198571,0,ChromeExtension,,t,93400,116800,USD,year,2026-06-01T20:26:24Z,,,2026-06-01T20:26:24Z,2026-06-01T20:26:24Z,,,2026-06-01T20:29:53Z,,246ec556-3d16-4453-84f7-c0fb13c5f142,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Michael Baker International,"United States,",Software Requirements Analyst (GIS),https://ebxs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_4004/job/309446,,WebClient,,,90000,120000,USD,year,2026-06-01T20:24:28Z,,,,2026-06-01T20:24:28Z,,2026-06-01T13:47:56Z,2026-06-01T20:42:38Z,,2d369e07-9a17-4b51-b870-8dc9278007a3,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Mercer Advisors,United States,Infrastructure Operations Specialist,https://www.linkedin.com/jobs/view/4409221261,0,ChromeExtension,,t,32,38,USD,hour,2026-05-29T14:20:15Z,,,2026-05-29T14:20:15Z,2026-05-29T14:20:15Z,,,2026-05-29T14:20:57Z,,2f0fafd8-4531-40f1-8e38-69f4341c0f1f,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Makai Labs,"New York, NY",Business Analyst,https://jobs.ashbyhq.com/makai-labs/e170b3c0-42c9-4bab-8afb-69c3b2f714b6,,WebClient,,,,,USD,year,2026-06-01T00:04:52Z,,,,2026-06-01T00:04:52Z,,2026-04-29T00:00:00Z,2026-06-01T00:05:04Z,,3386b09b-462b-4f7f-84eb-da9f2ff526b3,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
FINBOURNE Technology,"New York, NY",Senior Application Support Analyst,https://www.linkedin.com/jobs/view/4424076357,0,ChromeExtension,,t,,,,,2026-06-05T17:47:40Z,,,2026-06-05T17:47:40Z,2026-06-05T17:47:40Z,,,2026-06-05T18:25:36Z,,33d51735-b39a-49f2-a327-cbffca33dfc7,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
